:GT2K_LOG,2
:LOGGING_ID,6
:LOGGING_NAME,"Dryer1Fire"
:SERIAL_ID,7
:DEVICE_NUM,8
:RECORD_NUM,3600
:DATE_ORDER,YYYY/MM/DD hh:mm:ss
:LOCAL_TIME,GMT 00:00
:TIME_INF_ORDER,L
:DEV_COMMENT,"ÑBÑ|ÑpÑwÑ~ÑÄÑÉÑÑÑé ÑÉÑçÑÇÑéÑë","ÑBÑÑÑÄÑÇ ÑtÑÖÑÑÑéÑu","ÑSÑuÑ}ÑÅ. Ñr ÑqÑÄÑÇÑÄÑrÑu","ÑSÑuÑ}ÑÅ. Ñr ÑÑ-ÑsÑuÑ~","ÑQÑpÑxÑÇ. Ñr ÑÑÑÄÑÅÑ{Ñu","ÑYÑyÑqÑuÑÇ 0-100%","ÑPÑÄÑtÑpÑâÑp ÑÑÑÄÑÅÑ|ÑyÑrÑp","ÑPÑÄÑtÑpÑâÑp ÑrÑÄÑxÑtÑÖÑáÑp"
:DEV_TYPE,REAL,REAL,REAL,REAL,REAL,BIN16,REAL,REAL
:DISP_TYPE,REAL_FIX,REAL_FIX,REAL_FIX,REAL_FIX,REAL_FIX,DEC,REAL_FIX,REAL_FIX
:DEV_SIZE,2,2,2,2,2,1,2,2
2019/12/29 02:12:15,  49.80, 25.8, 356, 498, -0.34,  0,   0.00,  45.00
2019/12/29 02:12:25,  49.80, 25.8, 356, 498, -0.35,  0,   0.00,  45.00
2019/12/29 02:12:35,  49.80, 25.7, 356, 498, -0.36,  0,   0.00,  45.00
2019/12/29 02:12:45,  49.80, 25.8, 356, 498, -0.35,  0,   0.00,  45.00
2019/12/29 02:12:55,  49.80, 25.8, 357, 498, -0.36,  0,   2.00,  45.00
2019/12/29 02:13:05,  49.80, 25.8, 357, 498, -0.34,  0,   2.00,  45.00
2019/12/29 02:13:15,  49.80, 26.0, 357, 498, -0.29,  0,   2.00,  45.00
2019/12/29 02:13:25,  49.80, 25.8, 357, 497, -0.31,  0,   2.00,  45.00
2019/12/29 02:13:35,  49.80, 25.8, 357, 497, -0.32,  0,   2.00,  45.00
2019/12/29 02:13:45,  49.80, 25.7, 358, 497, -0.27,  0,   2.00,  45.00
2019/12/29 02:13:55,  49.80, 25.6, 358, 497, -0.30,  0,   2.00,  45.00
2019/12/29 02:14:05,  49.80, 25.7, 358, 497, -0.29,  0,   2.00,  45.00
2019/12/29 02:14:15,  49.80, 25.9, 358, 497, -0.30,  0,   2.00,  45.00
2019/12/29 02:14:25,  49.80, 25.7, 358, 497, -0.30,  0,   2.00,  45.00
2019/12/29 02:14:35,  49.80, 25.7, 358, 497, -0.32,  0,   2.00,  45.00
2019/12/29 02:14:45,  49.80, 25.7, 358, 497, -0.32,  0,   2.00,  45.00
2019/12/29 02:14:55,  49.80, 25.7, 358, 497, -0.31,  0,   2.00,  45.00
2019/12/29 02:15:05,  49.80, 25.7, 358, 497, -0.32,  0,   2.00,  45.00
2019/12/29 02:15:15,  49.80, 25.9, 359, 497, -0.33,  0,   2.00,  45.00
2019/12/29 02:15:25,  49.80, 25.9, 359, 497, -0.34,  0,   2.00,  45.00
2019/12/29 02:15:35,  49.80, 25.8, 359, 497, -0.35,  0,   2.00,  45.00
2019/12/29 02:15:45,  49.80, 25.9, 359, 497, -0.34,  0,   2.00,  45.00
2019/12/29 02:15:55,  49.80, 25.8, 359, 497, -0.34,  0,   2.00,  45.00
2019/12/29 02:16:05,  49.80, 25.8, 359, 497, -0.34,  0,   0.00,  45.00
2019/12/29 02:16:15,  49.80, 25.9, 360, 497, -0.35,  0,   0.00,  45.00
2019/12/29 02:16:25,  49.80, 25.7, 360, 497, -0.37,  0,   0.00,  45.00
2019/12/29 02:16:35,  49.80, 25.9, 360, 497, -0.37,  0,   0.00,  45.00
2019/12/29 02:16:45,  49.80, 25.9, 360, 497, -0.38,  0,   0.00,  45.00
2019/12/29 02:16:55,  49.80, 25.6, 360, 497, -0.38,  0,   0.00,  45.00
2019/12/29 02:17:05,  49.80, 25.8, 360, 497, -0.39,  0,   0.00,  45.00
2019/12/29 02:17:15,  49.80, 25.8, 360, 497, -0.39,  0,   0.00,  45.00
2019/12/29 02:17:25,  49.80, 25.9, 360, 497, -0.39,  0,   0.00,  45.00
2019/12/29 02:17:35,  49.80, 25.8, 360, 497, -0.39,  0,   0.00,  45.00
2019/12/29 02:17:45,  49.80, 25.9, 360, 497, -0.39,  0,   0.00,  45.00
2019/12/29 02:17:55,  49.80, 25.8, 361, 497, -0.40,  0,   2.00,  45.00
2019/12/29 02:18:05,  49.80, 25.8, 361, 497, -0.38,  0,   2.00,  45.00
2019/12/29 02:18:15,  49.80, 25.9, 361, 497, -0.39,  0,   2.00,  45.00
2019/12/29 02:18:25,  49.80, 25.8, 361, 497, -0.37,  0,   2.00,  45.00
2019/12/29 02:18:35,  49.80, 25.7, 360, 497, -0.38,  0,   2.00,  45.00
2019/12/29 02:18:45,  49.80, 25.8, 361, 497, -0.37,  0,   2.00,  45.00
2019/12/29 02:18:55,  49.80, 25.8, 361, 497, -0.39,  0,   2.00,  45.00
2019/12/29 02:19:05,  49.80, 25.7, 361, 497, -0.36,  0,   2.00,  45.00
2019/12/29 02:19:15,  49.80, 25.8, 361, 497, -0.38,  0,   2.00,  45.00
2019/12/29 02:19:25,  49.80, 25.7, 361, 496, -0.37,  0,   2.00,  45.00
2019/12/29 02:19:35,  49.80, 25.9, 361, 497, -0.39,  0,   2.00,  45.00
2019/12/29 02:19:45,  49.80, 25.8, 361, 497, -0.38,  0,   2.00,  45.00
2019/12/29 02:19:55,  49.80, 25.8, 360, 497, -0.39,  0,   2.00,  45.00
2019/12/29 02:20:05,  49.80, 25.9, 360, 497, -0.39,  0,   2.00,  45.00
2019/12/29 02:20:15,  49.80, 25.7, 360, 497, -0.38,  0,   2.00,  45.00
2019/12/29 02:20:25,  49.80, 25.8, 360, 497, -0.39,  0,   2.00,  45.00
2019/12/29 02:20:35,  49.80, 25.8, 360, 497, -0.39,  0,   2.00,  45.00
2019/12/29 02:20:45,  49.80, 25.8, 360, 496, -0.38,  0,   2.00,  45.00
2019/12/29 02:20:55,  49.80, 25.7, 360, 497, -0.38,  0,   2.00,  45.00
2019/12/29 02:21:05,  49.80, 25.8, 360, 496, -0.38,  0,   2.00,  45.00
2019/12/29 02:21:15,  49.80, 25.9, 359, 497, -0.39,  0,   2.00,  45.00
2019/12/29 02:21:25,  49.80, 25.8, 359, 496, -0.38,  0,   2.00,  45.00
2019/12/29 02:21:35,  49.80, 25.8, 359, 497, -0.39,  0,   2.00,  45.00
2019/12/29 02:21:45,  49.80, 25.9, 359, 496, -0.40,  0,   2.00,  45.00
2019/12/29 02:21:55,  49.80, 25.9, 359, 496, -0.39,  0,   0.00,  45.00
2019/12/29 02:22:05,  49.80, 25.8, 359, 496, -0.40,  0,   0.00,  45.00
2019/12/29 02:22:15,  49.80, 25.7, 359, 496, -0.40,  0,   0.00,  45.00
2019/12/29 02:22:25,  49.80, 25.8, 359, 496, -0.40,  0,   0.00,  45.00
2019/12/29 02:22:35,  49.80, 25.9, 358, 496, -0.41,  0,   0.00,  45.00
2019/12/29 02:22:45,  49.80, 25.9, 358, 496, -0.41,  0,   0.00,  45.00
2019/12/29 02:22:55,  49.80, 25.8, 358, 496, -0.42,  0,   0.00,  45.00
2019/12/29 02:23:05,  49.80, 25.7, 358, 496, -0.41,  0,   0.00,  45.00
2019/12/29 02:23:15,  49.80, 25.8, 358, 496, -0.42,  0,   0.00,  45.00
2019/12/29 02:23:25,  49.80, 25.8, 358, 496, -0.42,  0,   0.00,  45.00
2019/12/29 02:23:35,  49.80, 25.9, 357, 496, -0.42,  0,   0.00,  45.00
2019/12/29 02:23:45,  49.80, 25.8, 357, 496, -0.43,  0,   0.00,  45.00
2019/12/29 02:23:55,  49.80, 25.9, 357, 496, -0.43,  0,   0.00,  45.00
2019/12/29 02:24:05,  49.80, 25.8, 357, 496, -0.43,  0,   0.00,  45.00
2019/12/29 02:24:15,  49.80, 25.7, 357, 496, -0.42,  0,   0.00,  45.00
2019/12/29 02:24:25,  49.80, 25.8, 357, 496, -0.43,  0,   0.00,  45.00
2019/12/29 02:24:35,  49.80, 25.8, 356, 496, -0.43,  0,   0.00,  45.00
2019/12/29 02:24:45,  49.80, 25.9, 356, 496, -0.43,  0,   0.00,  45.00
2019/12/29 02:24:55,  49.80, 25.9, 356, 496, -0.43,  0,   0.00,  45.00
2019/12/29 02:25:05,  49.80, 25.8, 356, 496, -0.44,  0,   0.00,  45.00
2019/12/29 02:25:15,  49.80, 25.9, 356, 496, -0.44,  0,   0.00,  45.00
2019/12/29 02:25:25,  49.80, 25.8, 356, 496, -0.43,  0,   0.00,  45.00
2019/12/29 02:25:35,  49.80, 25.8, 356, 496, -0.44,  0,   0.00,  45.00
2019/12/29 02:25:45,  49.80, 25.8, 356, 496, -0.44,  0,   0.00,  45.00
2019/12/29 02:25:55,  49.80, 25.8, 356, 496, -0.44,  0,   0.00,  45.00
2019/12/29 02:26:05,  49.80, 25.9, 355, 496, -0.44,  0,   0.00,  45.00
2019/12/29 02:26:15,  49.80, 25.9, 355, 496, -0.44,  0,   0.00,  45.00
2019/12/29 02:26:25,  49.80, 25.9, 355, 496, -0.44,  0,   0.00,  45.00
2019/12/29 02:26:35,  49.80, 25.9, 355, 496, -0.45,  0,   1.00,  45.00
2019/12/29 02:26:45,  49.80, 25.9, 355, 496, -0.45,  0,   1.00,  45.00
2019/12/29 02:26:55,  49.80, 25.7, 355, 496, -0.44,  0,   1.00,  45.00
