:GT2K_LOG,2
:LOGGING_ID,6
:LOGGING_NAME,"Dryer1Fire"
:SERIAL_ID,68
:DEVICE_NUM,8
:RECORD_NUM,3600
:DATE_ORDER,YYYY/MM/DD hh:mm:ss
:LOCAL_TIME,GMT 00:00
:TIME_INF_ORDER,L
:DEV_COMMENT,"ÑBÑ|ÑpÑwÑ~ÑÄÑÉÑÑÑé ÑÉÑçÑÇÑéÑë","ÑBÑÑÑÄÑÇ ÑtÑÖÑÑÑéÑu","ÑSÑuÑ}ÑÅ. Ñr ÑqÑÄÑÇÑÄÑrÑu","ÑSÑuÑ}ÑÅ. Ñr ÑÑ-ÑsÑuÑ~","ÑQÑpÑxÑÇ. Ñr ÑÑÑÄÑÅÑ{Ñu","ÑYÑyÑqÑuÑÇ 0-100%","ÑPÑÄÑtÑpÑâÑp ÑÑÑÄÑÅÑ|ÑyÑrÑp","ÑPÑÄÑtÑpÑâÑp ÑrÑÄÑxÑtÑÖÑáÑp"
:DEV_TYPE,REAL,REAL,REAL,REAL,REAL,BIN16,REAL,REAL
:DISP_TYPE,REAL_FIX,REAL_FIX,REAL_FIX,REAL_FIX,REAL_FIX,DEC,REAL_FIX,REAL_FIX
:DEV_SIZE,2,2,2,2,2,1,2,2
2020/01/23 12:25:36,  49.90, 23.9, 696, 485, -0.19,  0,   0.00,  45.00
2020/01/23 12:25:46,  49.90, 23.9, 696, 484, -0.19,  0,   0.00,  45.00
2020/01/23 12:25:56,  49.90, 23.8, 696, 484, -0.19,  0,   0.00,  45.00
2020/01/23 12:26:06,  49.90, 23.8, 696, 484, -0.20,  0,   0.00,   0.00
2020/01/23 12:26:16,  49.90, 24.1, 696, 484, -0.25,  0,   0.00,   0.00
2020/01/23 12:26:26,  49.90, 23.9, 696, 484, -0.27,  0,   0.00,   0.00
2020/01/23 12:26:36,  49.90, 24.1, 696, 484, -0.27,  0,   0.00,   0.00
2020/01/23 12:26:46,  49.90, 23.7, 696, 484, -0.32,  0,   0.00,   0.00
2020/01/23 12:26:56,  49.90, 23.7, 696, 484, -0.42,  0,   0.00,   0.00
2020/01/23 12:27:06,  49.90, 23.6, 695, 484, -0.37,  0,   0.00,   0.00
2020/01/23 12:27:16,  49.90, 23.8, 695, 484, -0.20,  0,   0.00,   0.00
2020/01/23 12:27:26,  49.90, 24.1, 695, 484, -0.21,  0,   0.00,   0.00
2020/01/23 12:27:36,  49.90, 23.9, 695, 484, -0.22,  0,   0.00,   0.00
2020/01/23 12:27:46,  49.90, 23.7, 695, 484, -0.22,  0,   0.00,   0.00
2020/01/23 12:27:56,  49.90, 23.7, 694, 484, -0.22,  0,   0.00,   0.00
2020/01/23 12:28:06,  49.90, 23.9, 694, 484, -0.23,  0,   0.00,   0.00
2020/01/23 12:28:16,  49.90, 23.9, 694, 484, -0.22,  0,   0.00,   0.00
2020/01/23 12:28:26,  49.90, 23.7, 694, 484, -0.23,  0,   0.00,   0.00
2020/01/23 12:28:36,  49.90, 23.8, 693, 484, -0.22,  0,   0.00,   0.00
2020/01/23 12:28:46,  49.90, 23.8, 693, 484, -0.23,  0,   0.00,   0.00
2020/01/23 12:28:56,  49.90, 23.7, 693, 484, -0.24,  0,   0.00,   0.00
2020/01/23 12:29:06,  49.90, 23.9, 692, 484, -0.33,  0,   0.00,   0.00
2020/01/23 12:29:16,  49.90, 23.8, 692, 484, -0.40,  0,   0.00,   0.00
2020/01/23 12:29:26,  49.90, 24.2, 691, 484, -0.44,  0,   0.00,  45.00
2020/01/23 12:29:36,  49.90, 23.8, 691, 484, -0.29,  0,   0.00,  45.00
2020/01/23 12:29:46,  49.90, 23.8, 691, 484, -0.26,  0,   0.00,  45.00
2020/01/23 12:29:56,  49.90, 23.8, 690, 484, -0.23,  0,   0.00,  45.00
2020/01/23 12:30:06,  49.90, 23.9, 690, 484, -0.22,  0,   1.00,  45.00
2020/01/23 12:30:16,  49.90, 23.8, 689, 484, -0.21,  0,   1.00,  45.00
2020/01/23 12:30:26,  49.90, 23.7, 688, 484, -0.18,  0,   1.00,  45.00
2020/01/23 12:30:36,  49.90, 23.7, 688, 484, -0.20,  0,   1.00,  45.00
2020/01/23 12:30:46,  49.90, 23.6, 687, 484, -0.20,  0,   0.60,  45.00
2020/01/23 12:30:56,  49.90, 23.6, 687, 484, -0.20,  0,   0.60,  45.00
2020/01/23 12:31:06,  49.90, 23.8, 686, 484, -0.21,  0,   0.60,  45.00
2020/01/23 12:31:16,  49.90, 23.6, 686, 484, -0.21,  0,   0.60,  45.00
2020/01/23 12:31:26,  49.90, 23.7, 685, 484, -0.22,  0,   0.60,  45.00
2020/01/23 12:31:36,  49.90, 23.8, 685, 484, -0.20,  0,   0.60,  45.00
2020/01/23 12:31:46,  49.90, 23.7, 684, 484, -0.20,  0,   0.60,  45.00
2020/01/23 12:31:56,  49.90, 24.0, 684, 484, -0.20,  0,   0.60,  45.00
2020/01/23 12:32:06,  49.90, 23.9, 683, 484, -0.20,  0,   0.60,  45.00
2020/01/23 12:32:16,  49.90, 24.0, 683, 484, -0.19,  0,   1.00,  45.00
2020/01/23 12:32:26,  49.90, 24.0, 683, 484, -0.18,  0,   1.00,  45.00
2020/01/23 12:32:36,  49.90, 23.9, 682, 484, -0.19,  0,   1.00,  45.00
2020/01/23 12:32:46,  49.90, 23.8, 682, 484, -0.19,  0,   1.00,  45.00
2020/01/23 12:32:56,  49.90, 24.0, 681, 484, -0.18,  0,   1.00,  45.00
2020/01/23 12:33:06,  49.90, 24.1, 681, 484, -0.19,  0,   1.00,  45.00
2020/01/23 12:33:16,  49.90, 24.1, 680, 484, -0.18,  0,   1.00,  45.00
2020/01/23 12:33:26,  49.90, 24.1, 680, 484, -0.17,  0,   1.00,  45.00
2020/01/23 12:33:36,  49.90, 24.1, 679, 484, -0.18,  0,   1.00,  45.00
2020/01/23 12:33:46,  49.90, 24.0, 679, 484, -0.17,  0,   1.00,  45.00
2020/01/23 12:33:56,  49.90, 23.8, 679, 484, -0.18,  0,   1.00,  45.00
2020/01/23 12:34:06,  49.90, 23.9, 679, 484, -0.18,  0,   1.00,  45.00
2020/01/23 12:34:16,  49.90, 23.7, 678, 484, -0.19,  0,   1.00,  45.00
2020/01/23 12:34:26,  49.90, 23.9, 678, 484, -0.18,  0,   1.00,  45.00
2020/01/23 12:34:36,  49.90, 24.0, 678, 484, -0.17,  0,   1.00,  45.00
2020/01/23 12:34:46,  49.90, 24.1, 678, 484, -0.18,  0,   1.00,  45.00
2020/01/23 12:34:56,  49.90, 24.1, 678, 484, -0.18,  0,   1.00,  45.00
2020/01/23 12:35:06,  49.90, 23.9, 677, 484, -0.18,  0,   1.00,  45.00
2020/01/23 12:35:16,  49.90, 23.9, 677, 484, -0.19,  0,   1.00,  45.00
2020/01/23 12:35:26,  49.90, 23.8, 677, 484, -0.18,  0,   1.00,  45.00
2020/01/23 12:35:36,  49.90, 23.9, 677, 484, -0.18,  0,   1.00,  45.00
2020/01/23 12:35:46,  49.90, 23.8, 677, 484, -0.17,  0,   1.00,  45.00
2020/01/23 12:35:56,  49.90, 23.8, 677, 484, -0.18,  0,   1.00,  45.00
2020/01/23 12:36:06,  49.90, 24.1, 677, 484, -0.18,  0,   1.00,  45.00
2020/01/23 12:36:16,  49.90, 23.8, 677, 484, -0.18,  0,   1.00,  45.00
2020/01/23 12:36:26,  49.90, 23.9, 676, 484, -0.19,  0,   1.00,  45.00
2020/01/23 12:36:36,  49.90, 23.7, 676, 484, -0.17,  0,   1.00,  45.00
2020/01/23 12:36:46,  49.90, 24.1, 676, 484, -0.17,  0,   1.00,  45.00
2020/01/23 12:36:56,  49.90, 24.1, 676, 484, -0.17,  0,   1.00,  45.00
2020/01/23 12:37:06,  49.90, 24.0, 676, 484, -0.18,  0,   1.00,  45.00
2020/01/23 12:37:16,  49.90, 23.9, 676, 484, -0.18,  0,   1.00,  45.00
2020/01/23 12:37:26,  49.90, 24.0, 676, 484, -0.18,  0,   1.00,  45.00
2020/01/23 12:37:36,  49.90, 23.8, 676, 484, -0.17,  0,   1.00,  45.00
2020/01/23 12:37:46,  49.90, 23.9, 676, 484, -0.17,  0,   1.00,  45.00
2020/01/23 12:37:56,  49.90, 23.9, 676, 484, -0.18,  0,   1.00,  45.00
2020/01/23 12:38:06,  49.90, 23.9, 676, 484, -0.17,  0,   1.00,  45.00
2020/01/23 12:38:16,  49.90, 24.0, 676, 484, -0.17,  0,   1.00,  45.00
2020/01/23 12:38:26,  49.90, 23.9, 676, 484, -0.17,  0,   1.00,  45.00
2020/01/23 12:38:36,  49.90, 24.0, 675, 484, -0.17,  0,   1.00,  45.00
2020/01/23 12:38:46,  49.90, 23.8, 675, 484, -0.17,  0,   1.00,  45.00
2020/01/23 12:38:56,  49.90, 24.0, 675, 484, -0.18,  0,   1.00,  45.00
2020/01/23 12:39:06,  49.90, 23.9, 675, 484, -0.17,  0,   1.00,  45.00
2020/01/23 12:39:16,  49.90, 23.8, 675, 484, -0.17,  0,   1.00,  45.00
2020/01/23 12:39:26,  49.90, 23.7, 675, 484, -0.17,  0,   1.00,  45.00
2020/01/23 12:39:36,  49.90, 23.8, 675, 484, -0.17,  0,   1.00,  45.00
2020/01/23 12:39:46,  49.90, 23.8, 675, 484, -0.17,  0,   1.00,  45.00
2020/01/23 12:39:56,  49.90, 23.8, 676, 484, -0.18,  0,   1.00,  45.00
2020/01/23 12:40:06,  49.90, 23.6, 675, 484, -0.16,  0,   1.00,  45.00
2020/01/23 12:40:16,  49.90, 23.7, 676, 484, -0.18,  0,   1.00,  45.00
