:GT2K_LOG,2
:LOGGING_ID,6
:LOGGING_NAME,"Dryer1Fire"
:SERIAL_ID,83
:DEVICE_NUM,8
:RECORD_NUM,3600
:DATE_ORDER,YYYY/MM/DD hh:mm:ss
:LOCAL_TIME,GMT 00:00
:TIME_INF_ORDER,L
:DEV_COMMENT,"ÑBÑ|ÑpÑwÑ~ÑÄÑÉÑÑÑé ÑÉÑçÑÇÑéÑë","ÑBÑÑÑÄÑÇ ÑtÑÖÑÑÑéÑu","ÑSÑuÑ}ÑÅ. Ñr ÑqÑÄÑÇÑÄÑrÑu","ÑSÑuÑ}ÑÅ. Ñr ÑÑ-ÑsÑuÑ~","ÑQÑpÑxÑÇ. Ñr ÑÑÑÄÑÅÑ{Ñu","ÑYÑyÑqÑuÑÇ 0-100%","ÑPÑÄÑtÑpÑâÑp ÑÑÑÄÑÅÑ|ÑyÑrÑp","ÑPÑÄÑtÑpÑâÑp ÑrÑÄÑxÑtÑÖÑáÑp"
:DEV_TYPE,REAL,REAL,REAL,REAL,REAL,BIN16,REAL,REAL
:DISP_TYPE,REAL_FIX,REAL_FIX,REAL_FIX,REAL_FIX,REAL_FIX,DEC,REAL_FIX,REAL_FIX
:DEV_SIZE,2,2,2,2,2,1,2,2
2019/12/19 01:29:40,  49.30, 25.3, 484, 534, -0.17,  0,   1.40,  45.00
2019/12/19 01:29:50,  49.30, 25.4, 484, 534, -0.18,  0,   1.40,  45.00
2019/12/19 01:30:00,  49.30, 25.2, 485, 534, -0.17,  0,   1.40,  45.00
2019/12/19 01:30:10,  49.30, 25.1, 485, 533, -0.17,  0,   1.40,  45.00
2019/12/19 01:30:20,  49.49, 25.3, 485, 534, -0.17,  0,   1.40,  45.00
2019/12/19 01:30:30,  49.08, 25.2, 486, 534, -0.17,  0,   1.40,  45.00
2019/12/19 01:30:40,  49.30, 25.1, 486, 534, -0.17,  0,   1.40,  45.00
2019/12/19 01:30:50,  49.30, 25.0, 487, 534, -0.17,  0,   1.40,  45.00
2019/12/19 01:31:00,  48.98, 25.0, 487, 534, -0.17,  0,   1.40,  45.00
2019/12/19 01:31:10,  49.44, 25.3, 488, 534, -0.17,  0,   1.40,  45.00
2019/12/19 01:31:20,  49.30, 25.1, 488, 534, -0.17,  0,   1.40,  45.00
2019/12/19 01:31:30,  49.30, 25.0, 489, 534, -0.18,  0,   1.40,  45.00
2019/12/19 01:31:40,  48.88, 25.1, 489, 534, -0.18,  0,   1.40,  45.00
2019/12/19 01:31:50,  49.30, 25.0, 490, 534, -0.17,  0,   1.40,  45.00
2019/12/19 01:32:00,  49.01, 25.2, 491, 534, -0.16,  0,   1.40,  45.00
2019/12/19 01:32:10,  49.36, 25.1, 491, 534, -0.16,  0,   1.40,  45.00
2019/12/19 01:32:20,  49.13, 25.1, 492, 534, -0.16,  0,   1.40,  45.00
2019/12/19 01:32:30,  49.30, 25.3, 493, 534, -0.16,  0,   1.40,  45.00
2019/12/19 01:32:40,  49.78, 25.3, 493, 534, -0.16,  0,   1.40,  45.00
2019/12/19 01:32:50,  49.42, 25.2, 494, 534, -0.15,  0,   1.40,  45.00
2019/12/19 01:33:00,  49.30, 24.9, 495, 534, -0.15,  0,   1.40,  45.00
2019/12/19 01:33:10,  49.30, 25.2, 496, 534, -0.17,  0,   1.40,  45.00
2019/12/19 01:33:20,  49.30, 25.3, 496, 534, -0.16,  0,   1.40,  45.00
2019/12/19 01:33:30,  49.30, 25.2, 497, 534, -0.16,  0,   0.00,  45.00
2019/12/19 01:33:40,  49.30, 25.1, 498, 534, -0.17,  0,   0.00,  45.00
2019/12/19 01:33:50,  49.30, 25.2, 499, 534, -0.18,  0,   0.00,  45.00
2019/12/19 01:34:00,  49.30, 25.3, 499, 534, -0.18,  0,   0.00,  45.00
2019/12/19 01:34:10,  49.70, 25.1, 500, 534, -0.19,  0,   0.00,  45.00
2019/12/19 01:34:20,  49.67, 25.2, 501, 534, -0.19,  0,   0.00,  45.00
2019/12/19 01:34:30,  49.30, 25.2, 502, 534, -0.19,  0,   0.00,  45.00
2019/12/19 01:34:40,  49.73, 25.2, 503, 534, -0.19,  0,   0.00,  45.00
2019/12/19 01:34:50,  49.30, 25.3, 503, 534, -0.20,  0,   0.00,  45.00
2019/12/19 01:35:00,  49.30, 25.3, 504, 534, -0.19,  0,   0.00,  45.00
2019/12/19 01:35:10,  49.05, 25.2, 505, 534, -0.20,  0,   0.00,  45.00
2019/12/19 01:35:20,  49.22, 25.2, 506, 534, -0.20,  0,   0.00,  45.00
2019/12/19 01:35:30,  49.52, 25.2, 506, 534, -0.20,  0,   0.00,  45.00
2019/12/19 01:35:40,  48.97, 25.2, 507, 534, -0.20,  0,   0.00,  45.00
2019/12/19 01:35:50,  49.80, 25.2, 507, 534, -0.20,  0,   0.00,  45.00
2019/12/19 01:36:00,  49.46, 25.0, 508, 534, -0.20,  0,   0.00,  45.00
2019/12/19 01:36:10,  49.54, 25.1, 509, 534, -0.20,  0,   0.00,  45.00
2019/12/19 01:36:20,  49.56, 25.2, 509, 534, -0.19,  0,   0.00,  45.00
2019/12/19 01:36:30,  49.30, 25.1, 510, 534, -0.20,  0,   0.00,  45.00
2019/12/19 01:36:40,  48.97, 25.2, 510, 534, -0.20,  0,   0.00,  45.00
2019/12/19 01:36:50,  49.27, 25.1, 511, 534, -0.21,  0,   0.00,  45.00
2019/12/19 01:37:00,  48.83, 25.1, 511, 534, -0.20,  0,   0.00,  45.00
2019/12/19 01:37:10,  49.30, 25.0, 511, 534, -0.20,  0,   0.00,  45.00
2019/12/19 01:37:20,  49.30, 25.3, 512, 534, -0.20,  0,   0.00,  45.00
2019/12/19 01:37:30,  49.30, 25.3, 512, 534, -0.21,  0,   0.00,  45.00
2019/12/19 01:37:40,  49.30, 25.3, 513, 534, -0.20,  0,   0.00,  45.00
2019/12/19 01:37:50,  49.30, 25.4, 513, 534, -0.20,  0,   0.00,  45.00
2019/12/19 01:38:00,  49.30, 25.1, 513, 534, -0.20,  0,   0.00,  45.00
2019/12/19 01:38:10,  49.66, 25.3, 513, 534, -0.20,  0,   0.00,  45.00
2019/12/19 01:38:20,  49.16, 25.2, 513, 534, -0.20,  0,   0.00,  45.00
2019/12/19 01:38:30,  49.30, 25.2, 514, 534, -0.20,  0,   0.00,  45.00
2019/12/19 01:38:40,  49.30, 25.1, 514, 534, -0.21,  0,   0.00,  45.00
2019/12/19 01:38:50,  49.30, 25.0, 514, 534, -0.20,  0,   0.00,  45.00
2019/12/19 01:39:00,  49.30, 25.2, 515, 534, -0.21,  0,   0.00,  45.00
2019/12/19 01:39:10,  49.30, 25.3, 515, 534, -0.19,  0,   0.00,  45.00
2019/12/19 01:39:20,  49.30, 25.1, 515, 534, -0.20,  0,   0.00,  45.00
2019/12/19 01:39:30,  49.30, 25.4, 516, 534, -0.20,  0,   0.00,  45.00
2019/12/19 01:39:40,  49.30, 25.1, 516, 534, -0.21,  0,   0.00,  45.00
2019/12/19 01:39:50,  49.30, 25.0, 516, 534, -0.21,  0,   0.00,  45.00
2019/12/19 01:40:00,  49.30, 25.3, 516, 534, -0.20,  0,   0.00,  45.00
2019/12/19 01:40:10,  49.30, 25.1, 516, 534, -0.21,  0,   0.00,  45.00
2019/12/19 01:40:20,  49.30, 25.1, 517, 534, -0.20,  0,   0.00,  45.00
2019/12/19 01:40:30,  49.30, 25.1, 517, 534, -0.19,  0,   0.00,  45.00
2019/12/19 01:40:40,  49.30, 25.1, 517, 534, -0.20,  0,   0.00,  45.00
2019/12/19 01:40:50,  49.30, 25.1, 517, 534, -0.20,  0,   0.00,  45.00
2019/12/19 01:41:00,  49.30, 25.2, 517, 534, -0.19,  0,   0.00,  45.00
2019/12/19 01:41:10,  49.30, 25.2, 517, 534, -0.20,  0,   0.00,  45.00
2019/12/19 01:41:20,  49.30, 25.2, 518, 534, -0.20,  0,   0.00,  45.00
2019/12/19 01:41:30,  49.30, 25.0, 518, 534, -0.20,  0,   0.00,  45.00
2019/12/19 01:41:40,  49.30, 25.2, 518, 534, -0.20,  0,   0.00,  45.00
2019/12/19 01:41:50,  49.30, 25.2, 518, 534, -0.20,  0,   0.00,  45.00
2019/12/19 01:42:00,  49.30, 24.9, 518, 534, -0.20,  0,   0.00,  45.00
2019/12/19 01:42:10,  49.30, 25.1, 518, 534, -0.20,  0,   0.00,  45.00
2019/12/19 01:42:20,  49.30, 25.2, 518, 534, -0.20,  0,   0.00,  45.00
2019/12/19 01:42:30,  49.30, 25.2, 518, 534, -0.20,  0,   0.00,  45.00
2019/12/19 01:42:40,  49.30, 25.1, 519, 534, -0.20,  0,   0.00,  45.00
2019/12/19 01:42:50,  49.30, 25.1, 519, 534, -0.20,  0,   0.00,  45.00
2019/12/19 01:43:00,  49.30, 25.3, 519, 534, -0.21,  0,   0.00,  45.00
2019/12/19 01:43:10,  49.30, 25.1, 519, 535, -0.20,  0,   0.00,  45.00
2019/12/19 01:43:20,  49.30, 25.2, 519, 535, -0.20,  0,   0.00,  45.00
2019/12/19 01:43:30,  49.30, 25.3, 519, 535, -0.21,  0,   0.00,  45.00
2019/12/19 01:43:40,  49.30, 25.2, 519, 535, -0.20,  0,   0.00,  45.00
2019/12/19 01:43:50,  49.30, 25.2, 520, 535, -0.20,  0,   0.00,  45.00
2019/12/19 01:44:00,  49.30, 25.2, 519, 535, -0.21,  0,   0.00,  45.00
2019/12/19 01:44:10,  49.30, 25.1, 520, 535, -0.20,  0,   0.00,  45.00
2019/12/19 01:44:20,  49.30, 25.3, 520, 535, -0.20,  0,   0.00,  45.00
