:GT2K_LOG,2
:LOGGING_ID,6
:LOGGING_NAME,"Dryer1Fire"
:SERIAL_ID,92
:DEVICE_NUM,8
:RECORD_NUM,3600
:DATE_ORDER,YYYY/MM/DD hh:mm:ss
:LOCAL_TIME,GMT 00:00
:TIME_INF_ORDER,L
:DEV_COMMENT,"ÑBÑ|ÑpÑwÑ~ÑÄÑÉÑÑÑé ÑÉÑçÑÇÑéÑë","ÑBÑÑÑÄÑÇ ÑtÑÖÑÑÑéÑu","ÑSÑuÑ}ÑÅ. Ñr ÑqÑÄÑÇÑÄÑrÑu","ÑSÑuÑ}ÑÅ. Ñr ÑÑ-ÑsÑuÑ~","ÑQÑpÑxÑÇ. Ñr ÑÑÑÄÑÅÑ{Ñu","ÑYÑyÑqÑuÑÇ 0-100%","ÑPÑÄÑtÑpÑâÑp ÑÑÑÄÑÅÑ|ÑyÑrÑp","ÑPÑÄÑtÑpÑâÑp ÑrÑÄÑxÑtÑÖÑáÑp"
:DEV_TYPE,REAL,REAL,REAL,REAL,REAL,BIN16,REAL,REAL
:DISP_TYPE,REAL_FIX,REAL_FIX,REAL_FIX,REAL_FIX,REAL_FIX,DEC,REAL_FIX,REAL_FIX
:DEV_SIZE,2,2,2,2,2,1,2,2
2019/12/22 19:38:15,  49.20, 23.4, 636, 700, -0.21,  0,   0.60,  45.00
2019/12/22 19:38:25,  49.20, 23.6, 636, 700, -0.25,  0,   0.60,  45.00
2019/12/22 19:38:35,  49.20, 23.6, 635, 700, -0.24,  0,   0.60,  45.00
2019/12/22 19:38:45,  49.20, 23.7, 636, 700, -0.23,  0,   0.60,  45.00
2019/12/22 19:38:55,  49.20, 23.9, 636, 700, -0.24,  0,   0.60,  45.00
2019/12/22 19:39:05,  49.20, 23.9, 636, 700, -0.25,  0,   0.60,  45.00
2019/12/22 19:39:15,  49.20, 23.5, 636, 700, -0.24,  0,   0.60,  45.00
2019/12/22 19:39:25,  49.20, 23.6, 636, 700, -0.23,  0,   0.60,  45.00
2019/12/22 19:39:35,  49.20, 23.7, 636, 700, -0.24,  0,   0.60,  45.00
2019/12/22 19:39:45,  49.20, 23.6, 636, 700, -0.23,  0,   0.60,  45.00
2019/12/22 19:39:55,  49.20, 23.7, 636, 700, -0.25,  0,   0.60,  45.00
2019/12/22 19:40:05,  49.20, 23.6, 636, 700, -0.24,  0,   0.60,  45.00
2019/12/22 19:40:15,  49.20, 23.7, 636, 700, -0.26,  0,   0.60,  45.00
2019/12/22 19:40:25,  49.20, 23.5, 636, 700, -0.25,  0,   0.60,  45.00
2019/12/22 19:40:35,  49.20, 23.7, 636, 700, -0.23,  0,   0.60,  45.00
2019/12/22 19:40:45,  49.20, 23.7, 636, 700, -0.25,  0,   0.60,  45.00
2019/12/22 19:40:55,  49.20, 23.6, 636, 700, -0.24,  0,   0.60,  45.00
2019/12/22 19:41:05,  49.20, 23.7, 635, 700, -0.25,  0,   0.60,  45.00
2019/12/22 19:41:15,  49.20, 23.6, 635, 700, -0.23,  0,   0.60,  45.00
2019/12/22 19:41:25,  49.20, 23.7, 635, 700, -0.26,  0,   0.60,  45.00
2019/12/22 19:41:35,  49.20, 23.8, 635, 700, -0.26,  0,   0.60,  45.00
2019/12/22 19:41:45,  49.20, 23.8, 635, 700, -0.24,  0,   0.60,  45.00
2019/12/22 19:41:55,  49.20, 23.6, 635, 700, -0.23,  0,   0.60,  45.00
2019/12/22 19:42:05,  49.20, 24.0, 635, 700, -0.25,  0,   0.60,  45.00
2019/12/22 19:42:15,  49.20, 23.7, 635, 700, -0.25,  0,   0.60,  45.00
2019/12/22 19:42:25,  49.20, 23.7, 635, 700, -0.22,  0,   0.60,  45.00
2019/12/22 19:42:35,  49.20, 23.7, 634, 700, -0.24,  0,   0.60,  45.00
2019/12/22 19:42:45,  49.20, 23.9, 634, 700, -0.24,  0,   0.60,  45.00
2019/12/22 19:42:55,  49.20, 23.6, 634, 700, -0.24,  0,   0.60,  45.00
2019/12/22 19:43:05,  49.20, 23.8, 634, 700, -0.23,  0,   0.60,  45.00
2019/12/22 19:43:15,  49.20, 23.9, 634, 700, -0.24,  0,   0.60,  45.00
2019/12/22 19:43:25,  49.20, 23.8, 634, 700, -0.25,  0,   0.60,  45.00
2019/12/22 19:43:35,  49.20, 23.9, 634, 700, -0.26,  0,   0.60,  45.00
2019/12/22 19:43:45,  49.20, 23.8, 634, 700, -0.24,  0,   0.60,  45.00
2019/12/22 19:43:55,  49.20, 23.9, 633, 700, -0.24,  0,   0.60,  45.00
2019/12/22 19:44:05,  49.20, 23.5, 633, 700, -0.26,  0,   0.60,  45.00
2019/12/22 19:44:15,  49.20, 23.7, 633, 700, -0.24,  0,   0.60,  45.00
2019/12/22 19:44:25,  49.20, 23.7, 633, 700, -0.27,  0,   0.60,  45.00
2019/12/22 19:44:35,  49.20, 23.6, 633, 700, -0.25,  0,   0.60,  45.00
2019/12/22 19:44:45,  49.20, 23.7, 633, 700, -0.23,  0,   0.60,  45.00
2019/12/22 19:44:55,  49.20, 23.5, 633, 700, -0.24,  0,   0.60,  45.00
2019/12/22 19:45:05,  49.20, 23.7, 632, 700, -0.23,  0,   0.60,  45.00
2019/12/22 19:45:15,  49.20, 23.5, 632, 700, -0.24,  0,   0.60,  45.00
2019/12/22 19:45:25,  49.20, 23.7, 632, 700, -0.25,  0,   0.60,  45.00
2019/12/22 19:45:35,  49.20, 23.7, 632, 700, -0.22,  0,   0.60,  45.00
2019/12/22 19:45:45,  49.20, 23.9, 632, 700, -0.25,  0,   0.60,  45.00
2019/12/22 19:45:55,  49.20, 23.7, 632, 700, -0.25,  0,   0.60,  45.00
2019/12/22 19:46:05,  49.20, 23.7, 632, 700, -0.24,  0,   0.60,  45.00
2019/12/22 19:46:15,  49.20, 23.6, 632, 700, -0.23,  0,   0.60,  45.00
2019/12/22 19:46:25,  49.20, 23.7, 632, 700, -0.25,  0,   0.60,  45.00
2019/12/22 19:46:35,  49.20, 23.6, 632, 700, -0.22,  0,   0.60,  45.00
2019/12/22 19:46:45,  49.20, 23.7, 631, 700, -0.24,  0,   0.60,  45.00
2019/12/22 19:46:55,  49.20, 23.7, 631, 700, -0.23,  0,   0.60,  45.00
2019/12/22 19:47:05,  49.20, 23.6, 631, 700, -0.25,  0,   0.60,  45.00
2019/12/22 19:47:15,  49.20, 23.6, 631, 700, -0.25,  0,   0.60,  45.00
2019/12/22 19:47:25,  49.20, 23.6, 631, 700, -0.22,  0,   0.60,  45.00
2019/12/22 19:47:35,  49.20, 23.6, 631, 700, -0.25,  0,   0.60,  45.00
2019/12/22 19:47:45,  49.20, 23.5, 631, 700, -0.24,  0,   0.60,  45.00
2019/12/22 19:47:55,  49.20, 23.8, 631, 700, -0.22,  0,   0.60,  45.00
2019/12/22 19:48:05,  49.20, 23.8, 631, 700, -0.26,  0,   0.60,  45.00
2019/12/22 19:48:15,  49.20, 23.9, 631, 700, -0.25,  0,   0.60,  45.00
2019/12/22 19:48:25,  49.20, 23.4, 631, 700, -0.24,  0,   0.60,  45.00
2019/12/22 19:48:35,  49.20, 23.8, 631, 700, -0.25,  0,   0.60,  45.00
2019/12/22 19:48:45,  49.20, 24.1, 631, 700, -0.25,  0,   0.60,  45.00
2019/12/22 19:48:55,  49.20, 23.7, 630, 700, -0.27,  0,   0.60,  45.00
2019/12/22 19:49:05,  49.20, 23.8, 631, 700, -0.25,  0,   0.60,  45.00
2019/12/22 19:49:15,  49.20, 23.7, 630, 700, -0.26,  0,   0.60,  45.00
2019/12/22 19:49:25,  49.20, 23.8, 630, 700, -0.27,  0,   0.60,  45.00
2019/12/22 19:49:35,  49.20, 23.8, 630, 700, -0.25,  0,   0.60,  45.00
2019/12/22 19:49:45,  49.20, 23.6, 630, 700, -0.27,  0,   0.60,  45.00
2019/12/22 19:49:55,  49.20, 23.6, 630, 700, -0.25,  0,   0.60,  45.00
2019/12/22 19:50:05,  49.20, 23.6, 630, 700, -0.26,  0,   0.60,  45.00
2019/12/22 19:50:15,  49.20, 23.6, 630, 700, -0.25,  0,   0.60,  45.00
2019/12/22 19:50:25,  49.20, 23.6, 629, 700, -0.27,  0,   0.60,  45.00
2019/12/22 19:50:35,  49.20, 23.7, 629, 700, -0.26,  0,   0.80,  45.00
2019/12/22 19:50:45,  49.20, 23.8, 629, 700, -0.23,  0,   0.80,  45.00
2019/12/22 19:50:55,  49.20, 23.7, 629, 700, -0.26,  0,   0.80,  45.00
2019/12/22 19:51:05,  49.20, 23.9, 629, 700, -0.25,  0,   0.80,  45.00
2019/12/22 19:51:15,  49.20, 24.0, 629, 700, -0.25,  0,   0.80,  45.00
2019/12/22 19:51:25,  49.20, 23.7, 629, 700, -0.25,  0,   0.80,  45.00
2019/12/22 19:51:35,  49.20, 23.7, 629, 700, -0.23,  0,   0.80,  45.00
2019/12/22 19:51:45,  49.20, 23.5, 628, 700, -0.26,  0,   0.80,  45.00
2019/12/22 19:51:55,  49.20, 23.9, 628, 700, -0.24,  0,   0.80,  45.00
2019/12/22 19:52:05,  49.20, 23.7, 628, 700, -0.23,  0,   0.80,  45.00
2019/12/22 19:52:15,  49.20, 23.8, 628, 700, -0.25,  0,   1.00,  45.00
2019/12/22 19:52:25,  49.20, 23.7, 628, 700, -0.22,  0,   1.00,  45.00
2019/12/22 19:52:35,  49.20, 23.8, 628, 700, -0.24,  0,   1.00,  45.00
2019/12/22 19:52:45,  49.20, 23.7, 628, 700, -0.23,  0,   1.00,  45.00
2019/12/22 19:52:55,  49.20, 23.6, 627, 700, -0.23,  0,   1.00,  45.00
