:GT2K_LOG,2
:LOGGING_ID,6
:LOGGING_NAME,"Dryer1Fire"
:SERIAL_ID,59
:DEVICE_NUM,8
:RECORD_NUM,3600
:DATE_ORDER,YYYY/MM/DD hh:mm:ss
:LOCAL_TIME,GMT 00:00
:TIME_INF_ORDER,L
:DEV_COMMENT,"ÑBÑ|ÑpÑwÑ~ÑÄÑÉÑÑÑé ÑÉÑçÑÇÑéÑë","ÑBÑÑÑÄÑÇ ÑtÑÖÑÑÑéÑu","ÑSÑuÑ}ÑÅ. Ñr ÑqÑÄÑÇÑÄÑrÑu","ÑSÑuÑ}ÑÅ. Ñr ÑÑ-ÑsÑuÑ~","ÑQÑpÑxÑÇ. Ñr ÑÑÑÄÑÅÑ{Ñu","ÑYÑyÑqÑuÑÇ 0-100%","ÑPÑÄÑtÑpÑâÑp ÑÑÑÄÑÅÑ|ÑyÑrÑp","ÑPÑÄÑtÑpÑâÑp ÑrÑÄÑxÑtÑÖÑáÑp"
:DEV_TYPE,REAL,REAL,REAL,REAL,REAL,BIN16,REAL,REAL
:DISP_TYPE,REAL_FIX,REAL_FIX,REAL_FIX,REAL_FIX,REAL_FIX,DEC,REAL_FIX,REAL_FIX
:DEV_SIZE,2,2,2,2,2,1,2,2
2020/01/19 18:20:03,  49.20, 24.9, 686, 550, -0.14,  0,   0.60,  45.00
2020/01/19 18:20:13,  49.20, 25.0, 686, 550, -0.13,  0,   0.60,  45.00
2020/01/19 18:20:23,  49.20, 24.8, 686, 550, -0.13,  0,   0.60,  45.00
2020/01/19 18:20:33,  49.20, 24.9, 686, 550, -0.14,  0,   0.60,  45.00
2020/01/19 18:20:43,  49.20, 24.9, 686, 550, -0.13,  0,   0.60,  45.00
2020/01/19 18:20:53,  49.20, 25.0, 686, 550, -0.14,  0,   0.60,  45.00
2020/01/19 18:21:03,  49.20, 25.0, 686, 550, -0.13,  0,   0.60,  45.00
2020/01/19 18:21:13,  49.20, 24.8, 686, 550, -0.13,  0,   0.60,  45.00
2020/01/19 18:21:23,  49.20, 24.8, 686, 550, -0.14,  0,   0.00,   0.00
2020/01/19 18:21:33,  49.20, 24.9, 686, 550, -0.18,  0,   0.00,   0.00
2020/01/19 18:21:43,  49.20, 25.4, 686, 550, -0.20,  0,   0.00,   0.00
2020/01/19 18:21:53,  49.20, 25.2, 686, 550, -0.21,  0,   0.00,   0.00
2020/01/19 18:22:03,  49.20, 25.2, 686, 550, -0.21,  0,   0.00,   0.00
2020/01/19 18:22:13,  49.20, 22.8, 686, 550, -0.29,  0,   0.00,   0.00
2020/01/19 18:22:23,  49.20, 24.7, 686, 550, -0.40,  0,   0.00,   0.00
2020/01/19 18:22:33,  49.20, 24.8, 686, 550, -0.26,  0,   0.00,   0.00
2020/01/19 18:22:43,  49.20, 24.7, 686, 550, -0.20,  0,   0.00,   0.00
2020/01/19 18:22:53,  49.20, 25.1, 686, 550, -0.20,  0,   0.00,   0.00
2020/01/19 18:23:03,  49.20, 24.7, 686, 550, -0.19,  0,   0.00,   0.00
2020/01/19 18:23:13,  49.20, 24.9, 686, 550, -0.20,  0,   0.00,   0.00
2020/01/19 18:23:23,  49.20, 24.9, 686, 550, -0.19,  0,   0.00,   0.00
2020/01/19 18:23:33,  49.20, 24.7, 686, 550, -0.21,  0,   0.00,   0.00
2020/01/19 18:23:43,  49.20, 25.1, 686, 550, -0.20,  0,   0.00,   0.00
2020/01/19 18:23:53,  49.20, 24.8, 686, 550, -0.20,  0,   0.00,   0.00
2020/01/19 18:24:03,  49.20, 25.0, 685, 550, -0.22,  0,   0.00,   0.00
2020/01/19 18:24:13,  49.20, 25.1, 685, 550, -0.22,  0,   0.00,   0.00
2020/01/19 18:24:23,  49.20, 25.1, 685, 550, -0.22,  0,   0.00,   0.00
2020/01/19 18:24:33,  49.20, 24.9, 685, 550, -0.23,  0,   0.00,   0.00
2020/01/19 18:24:43,  49.20, 24.7, 684, 550, -0.22,  0,   0.00,   0.00
2020/01/19 18:24:53,  49.20, 24.9, 684, 550, -0.44,  0,   0.00,   0.00
2020/01/19 18:25:03,  49.20, 25.1, 684, 550, -0.45,  0,   0.00,   0.00
2020/01/19 18:25:13,  49.20, 25.4, 683, 550, -0.40,  0,   0.60,  45.00
2020/01/19 18:25:23,  49.20, 25.0, 683, 550, -0.23,  0,   0.60,  45.00
2020/01/19 18:25:33,  49.20, 25.2, 682, 550, -0.18,  0,   0.60,  45.00
2020/01/19 18:25:43,  49.20, 25.4, 682, 550, -0.17,  0,   0.60,  45.00
2020/01/19 18:25:53,  49.20, 25.2, 682, 550, -0.17,  0,   0.60,  45.00
2020/01/19 18:26:03,  49.20, 25.0, 681, 549, -0.16,  0,   0.60,  45.00
2020/01/19 18:26:13,  49.20, 25.2, 680, 550, -0.16,  0,   0.00,  45.00
2020/01/19 18:26:23,  49.20, 25.2, 680, 550, -0.17,  0,   0.00,  45.00
2020/01/19 18:26:33,  49.20, 25.1, 679, 550, -0.17,  0,   0.00,  45.00
2020/01/19 18:26:43,  49.20, 25.0, 679, 549, -0.17,  0,   0.00,  45.00
2020/01/19 18:26:53,  49.20, 25.3, 679, 550, -0.16,  0,   0.00,  45.00
2020/01/19 18:27:03,  49.20, 25.2, 678, 549, -0.16,  0,   0.00,  45.00
2020/01/19 18:27:13,  49.20, 25.2, 678, 549, -0.17,  0,   0.60,  45.00
2020/01/19 18:27:23,  49.20, 25.2, 678, 550, -0.18,  0,   0.60,  45.00
2020/01/19 18:27:33,  49.20, 25.1, 677, 550, -0.17,  0,   0.60,  45.00
2020/01/19 18:27:43,  49.20, 25.1, 677, 549, -0.16,  0,   1.00,  45.00
2020/01/19 18:27:53,  49.20, 24.8, 677, 549, -0.16,  0,   1.00,  45.00
2020/01/19 18:28:03,  49.20, 25.2, 676, 549, -0.15,  0,   1.00,  45.00
2020/01/19 18:28:13,  49.20, 24.9, 676, 549, -0.15,  0,   1.00,  45.00
2020/01/19 18:28:23,  49.20, 24.9, 676, 549, -0.15,  0,   1.00,  45.00
2020/01/19 18:28:33,  49.20, 25.1, 676, 549, -0.13,  0,   1.00,  45.00
2020/01/19 18:28:43,  49.20, 25.0, 675, 549, -0.14,  0,   1.00,  45.00
2020/01/19 18:28:53,  49.20, 25.1, 675, 549, -0.14,  0,   1.00,  45.00
2020/01/19 18:29:03,  49.20, 25.2, 675, 549, -0.14,  0,   1.00,  45.00
2020/01/19 18:29:13,  49.20, 25.3, 674, 549, -0.13,  0,   1.00,  45.00
2020/01/19 18:29:23,  49.20, 25.0, 674, 549, -0.14,  0,   1.00,  45.00
2020/01/19 18:29:33,  49.20, 25.2, 674, 549, -0.14,  0,   1.00,  45.00
2020/01/19 18:29:43,  49.20, 24.9, 673, 549, -0.13,  0,   1.00,  45.00
2020/01/19 18:29:53,  49.20, 25.2, 673, 549, -0.13,  0,   1.00,  45.00
2020/01/19 18:30:03,  49.20, 25.0, 673, 549, -0.13,  0,   1.00,  45.00
2020/01/19 18:30:13,  49.20, 25.0, 673, 549, -0.13,  0,   1.00,  45.00
2020/01/19 18:30:23,  49.20, 24.9, 673, 549, -0.13,  0,   1.00,  45.00
2020/01/19 18:30:33,  49.20, 25.0, 673, 549, -0.13,  0,   1.00,  45.00
2020/01/19 18:30:43,  49.20, 24.9, 673, 549, -0.13,  0,   1.00,  45.00
2020/01/19 18:30:53,  49.20, 25.2, 673, 549, -0.14,  0,   1.00,  45.00
2020/01/19 18:31:03,  49.20, 25.0, 673, 549, -0.13,  0,   0.60,  45.00
2020/01/19 18:31:13,  49.20, 25.0, 673, 549, -0.14,  0,   0.60,  45.00
2020/01/19 18:31:23,  49.20, 25.3, 673, 549, -0.13,  0,   0.60,  45.00
2020/01/19 18:31:33,  49.20, 25.0, 673, 549, -0.14,  0,   0.60,  45.00
2020/01/19 18:31:43,  49.20, 25.0, 673, 549, -0.13,  0,   0.60,  45.00
2020/01/19 18:31:53,  49.20, 25.0, 673, 549, -0.13,  0,   0.60,  45.00
2020/01/19 18:32:03,  49.20, 24.9, 673, 549, -0.14,  0,   0.60,  45.00
2020/01/19 18:32:13,  49.20, 24.8, 673, 549, -0.14,  0,   0.60,  45.00
2020/01/19 18:32:23,  49.20, 25.1, 673, 549, -0.13,  0,   0.60,  45.00
2020/01/19 18:32:33,  49.20, 25.1, 673, 549, -0.13,  0,   0.60,  45.00
2020/01/19 18:32:43,  49.20, 25.1, 673, 549, -0.13,  0,   0.60,  45.00
2020/01/19 18:32:53,  49.20, 25.2, 674, 549, -0.13,  0,   0.60,  45.00
2020/01/19 18:33:03,  49.20, 25.2, 674, 549, -0.13,  0,   0.60,  45.00
2020/01/19 18:33:13,  49.20, 24.9, 674, 549, -0.13,  0,   0.60,  45.00
2020/01/19 18:33:23,  49.20, 25.1, 674, 549, -0.13,  0,   0.60,  45.00
2020/01/19 18:33:33,  49.20, 25.1, 674, 549, -0.13,  0,   0.60,  45.00
2020/01/19 18:33:43,  49.20, 24.8, 674, 549, -0.13,  0,   0.60,  45.00
2020/01/19 18:33:53,  49.20, 24.8, 674, 549, -0.13,  0,   0.60,  45.00
2020/01/19 18:34:03,  49.20, 25.0, 675, 549, -0.14,  0,   0.60,  45.00
2020/01/19 18:34:13,  49.20, 24.9, 675, 549, -0.13,  0,   0.60,  45.00
2020/01/19 18:34:23,  49.20, 25.0, 675, 549, -0.14,  0,   0.60,  45.00
2020/01/19 18:34:33,  49.20, 25.1, 675, 549, -0.13,  0,   0.60,  45.00
2020/01/19 18:34:43,  49.20, 24.9, 675, 549, -0.14,  0,   0.60,  45.00
